Date,A/C Type,Location,Fatalities,Registration,detail.url
"Nov 9, 2018",Boeing 757-200,"Georgetown-Cheddi Jagan, Demerara-Mahaica",1,N524AT,http://www.baaa-acro.com/crash/crash-boeing-757-23n-georgetown-1-killed
"Nov 8, 2018",PZL-Mielec AN-2,"Arkhangelsk, Arkhangelsk oblast",0,RA-84674,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-near-arkhangelsk
"Nov 7, 2018",Boeing 747-400,"Halifax-Stanfield, Nova Scotia",0,N908AR,http://www.baaa-acro.com/crash/crash-boeing-747-412f-halifax
"Oct 29, 2018",Boeing 737 MAX 8,"Jakarta, City District of Jakarta",189,PK-LQP,http://www.baaa-acro.com/crash/crash-boeing-737-max-8-jakarta-189-killed
"Oct 28, 2018",Cessna 340,"Santa Cruz, Santa Cruz",0,N5224J,http://www.baaa-acro.com/crash/crash-cessna-340a-santa-cruz
"Oct 25, 2018",Piper PA-31 Cheyenne,"Atlantic Ocean, All World",5,N555PM,http://www.baaa-acro.com/crash/crash-piper-pa-31t-cheyenne-atlantic-ocean-5-killed
"Oct 21, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Hurricane, Utah",0,N413LL,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-hurricane
"Oct 3, 2018",Antonov AN-32,"Khartoum, Khartoum (الخرطوم)",0,-,http://www.baaa-acro.com/crash/crash-antonov-32-khartoum
"Oct 3, 2018",Antonov AN-26,"Khartoum, Khartoum (الخرطوم)",0,7706,http://www.baaa-acro.com/crash/crash-antonov-26-khartoum
"Sep 28, 2018",Boeing 737-800,"Weno Island, Chuuk Island",1,P2-PXE,http://www.baaa-acro.com/crash/crash-boeing-737-8bk-weno-island-1-killed
"Sep 27, 2018",Cessna 208B Grand Caravan,"Pacific Ocean, All World",1,VH-FAY,http://www.baaa-acro.com/crash/crash-cessna-208b-supervan-900-pacific-ocean-1-killed
"Sep 27, 2018",Dassault Falcon 50,"Greenville-Downtown, South Carolina",2,N114TD,http://www.baaa-acro.com/crash/crash-dassault-falcon-50-greenville-2-killed
"Sep 25, 2018",Beechcraft 200 Super King Air,"Oscoda-Wurtsmith, Michigan",1,N241CK,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-air-oscoda-1-killed
"Sep 17, 2018",Ilyushin II-20,"Latakia, Latakia Governorate (مُحافظة اللاذقية‎)",15,RF-93610,http://www.baaa-acro.com/crash/crash-ilyushin-ii-20m-latakia-15-killed
"Sep 15, 2018",Beechcraft 90 King Air,"Ipumirim, Santa Catarina",1,PR-RFB,http://www.baaa-acro.com/crash/crash-beechcraft-c90b-king-air-ipumirim-1-killed
"Sep 9, 2018",Let 410UVP,"Yirol, Lakes (البحيرات)",20,UR-TWO,http://www.baaa-acro.com/crash/crash-let-410uvp-yirol-20-killed
"Sep 6, 2018",Cessna 340,"Kimball, Michigan",1,C-GLKX,http://www.baaa-acro.com/crash/crash-cessna-340a-kimball-1-killed
"Sep 1, 2018",Boeing 737-800,"Sochi-Adler, Krasnodar Krai",0,VQ-BJI,http://www.baaa-acro.com/crash/crash-boeing-737-8as-sochi
"Aug 30, 2018",De Havilland DHC-6 Twin Otter,"Mojo, Oromia",18,ET-AIU,http://www.baaa-acro.com/crash/cras-de-havilland-dhc-6-twin-otter-mojo-18-killed
"Aug 30, 2018",Beechcraft 60 Duke,"Destin-Executive, Florida",4,N1876L,http://www.baaa-acro.com/crash/crash-beechcraft-60-duke-destin-4-killed
"Aug 25, 2018",Grumman G-64 Albatross,"Atlantic Ocean, All World",0,N1955G,http://www.baaa-acro.com/crash/crash-grumman-g-64-atlantic-ocean
"Aug 21, 2018",Piper PA-31-310 Navajo,"Limoges, Haute-Vienne",0,F-HGPS,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-near-limoges
"Aug 16, 2018",Boeing 737-800,"Manila-Ninoy Aquino, Metro Manila",0,B-5498,http://www.baaa-acro.com/crash/crash-boeing-737-85c-manila
"Aug 13, 2018",Cessna 525 CJ1,"Payson, Utah",1,N526CP,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj1-payson-1-killed
"Aug 11, 2018",PAC 750XL - Pacific Aerospace Corporation,"Oksibil, Special Region of Papua",8,PK-HVQ,http://www.baaa-acro.com/crash/crash-pacific-aerospace-pac-750xl-near-oksibil-8-killed
"Aug 11, 2018",De Havilland DH.89 Dragon Rapide,"Abbotsford, British Columbia",0,N683DH,http://www.baaa-acro.com/crash/crash-de-havilland-dh89a-dragon-rapide-4-abbotsford
"Aug 10, 2018",De Havilland Dash-8-400,"Ketron Island, Washington",1,N449QX,http://www.baaa-acro.com/crash/crash-de-havilland-dash-8-400-ketron-island-1-killed
"Aug 7, 2018",Dassault Falcon 20,"San Luis Potosí, San Luis Potosí",0,N961AA,http://www.baaa-acro.com/crash/crash-dassault-falcon-20d-san-luis-potosi
"Aug 5, 2018",Cessna 414 Chancellor,"Santa Ana-John Wayne, California",5,N727RP,http://www.baaa-acro.com/crash/crash-cessna-414-chancellor-santa-ana-5-killed
"Aug 4, 2018",De Havilland DHC-2 Beaver,"Mt Kahiltna, Alaska",5,N323KT,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-i-mt-kahiltna-5-killed
"Aug 4, 2018",Junkers JU.52,"Piz Segnas, Glarus",20,HB-HOT,http://www.baaa-acro.com/crash/crash-junkers-ju523mg4e-piz-segnas-20-killed
"Aug 4, 2018",Extra EA-400,"Ponca City, Oklahoma",5,N13EP,http://www.baaa-acro.com/crash/crash-extra-ea-400-ponca-city-5-killed
"Aug 1, 2018",Piper PA-31-310 Navajo,"Kananaskis, Alberta",2,C-FNCI,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-c-near-kananaskis-2-killed
"Jul 31, 2018",Embraer ERJ-190,"Durango, Durango",0,XA-GAL,http://www.baaa-acro.com/crash/crash-embraer-erj-190ar-durango
"Jul 30, 2018",Piper PA-60 Aerostar (Ted Smith 600),"Greenville, Maine",3,C-GRRS,http://www.baaa-acro.com/crash/crash-piper-pa-60-602p-aerostar-ted-smith-600-greenville-3-killed
"Jul 29, 2018",Beechcraft 90 King Air,"Campo de Marte AFB (São Paulo), São Paulo",1,PP-SZN,http://www.baaa-acro.com/crash/crash-beechcraft-c90gti-king-air-campo-de-marte-1-killed
"Jul 27, 2018",PZL-Mielec AN-2,"Kamako, Kasai-Occidental",5,9S-GFS,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-kamako-5-killed
"Jul 21, 2018",Douglas C-47 Skytrain (DC-3),"Burnet, Texas",0,N47HL,http://www.baaa-acro.com/crash/crash-douglas-c-47b-burnet
"Jul 20, 2018",Antonov AN-26,"El Alamein, Matruh",0,UP-AN611,http://www.baaa-acro.com/crash/crash-antonov-26b-near-el-alamein
"Jul 20, 2018",Piper PA-61 Aerostar (Ted Smith 601),"Baton Rouge, Louisiana",0,N327BK,http://www.baaa-acro.com/crash/crash-piper-pa-61-aerostar-ted-smith-601-baton-rouge
"Jul 18, 2018",De Havilland DHC-2 Beaver,"Willow Lake, Alaska",1,N9878R,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-willow-lake-1-killed
"Jul 10, 2018",Convair CV-340,"Pretoria-Wonderboom, Gauteng",2,ZS-BRV,http://www.baaa-acro.com/crash/crash-convair-cv-340-pretoria-2-killed
"Jul 10, 2018",De Havilland DHC-3 Otter,"Ketchikan, Alaska",0,N3952B,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-3t-otter-mt-jumbo
"Jun 28, 2018",Beechcraft 90 King Air,"Mumbai, Maharashtra",5,VT-UPZ,http://www.baaa-acro.com/crash/crash-beechcraft-c90a-king-air-mumbai-5-killed
"Jun 27, 2018",Piper PA-31-350 Navajo Chieftain,"Rio Jamanxim, Pará",2,PT-IIU,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-rio-jamanxim-2-killed
"Jun 26, 2018",Cessna 414 Chancellor,"Enstone, Oxfordshire",0,N414FZ,http://www.baaa-acro.com/crash/crash-cessna-414-chancellor-enstone
"Jun 24, 2018",Let 410UVP,"Souguéta, Kindia Region",4,-,http://www.baaa-acro.com/crash/crash-let-410uvp-near-sougueta-4-killed
"Jun 18, 2018",Piper PA-31-310 Navajo,"Ampangabe, Antananarivo Province",5,5R-MKF,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-b-ampangabe-5-killed
"Jun 14, 2018",McDonnell Douglas MD-83,"Kiev-Zhuliany-Igor Sikorsky, Kiev oblast",0,UR-CPR,http://www.baaa-acro.com/crash/crash-mcdonnell-douglas-md-83-kiev
"Jun 13, 2018",Cessna 207 Skywagon/Stationair,"Susitna River, Alaska",1,N91038,http://www.baaa-acro.com/crash/crash-cessna-207-skywagon-susitna-river-1-killed
"Jun 6, 2018",Cessna 525 CJ2,"Saint-Tropez-La Môle, Var",0,D-IULI,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj2-saint-tropez
"Jun 6, 2018",PZL-Mielec AN-2,"Băleni, Dâmbovița",0,YR-DAX,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-baleni
"Jun 5, 2018",Cessna 208B Grand Caravan,"Mt Aberdare, Central",10,5Y-CAC,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-mt-aberdare-10-killed
"Jun 5, 2018",Cessna 421B Golden Eagle II,"Rock Sound, South Eleuthera",3,N421MM,http://www.baaa-acro.com/crash/crash-cessna-421b-golden-eagle-ii-rock-sound-3-killed
"Jun 4, 2018",GippsAero GA10 Airvan,"Mojave, California",0,VH-XMH,http://www.baaa-acro.com/crash/crash-gippsaero-ga10-airvan-near-mojave
"Jun 3, 2018",Partenavia P.68,"Endelave Island, Sjælland",0,D-GATA,http://www.baaa-acro.com/crash/crash-partenavia-p68b-victor-endelave-island
"Jun 3, 2018",Lockheed C-130 Hercules,"Biskra, Biskra",1,7T-WHT,http://www.baaa-acro.com/crash/crash-lockheed-c-130h-hercules-biskra-1-killed
"Jun 2, 2018",Piper PA-31-350 Navajo Chieftain,"Amagansett, New York",4,N41173,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-amagansett-4-killed
"May 30, 2018",Cessna 208B Grand Caravan,"Kamonia, Kasai-Occidental",0,5X-MRH,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-kamonia
"May 29, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Prescott, Arizona",0,N148ME,http://www.baaa-acro.com/crash/crash-piper-pa-46-310p-malibu-prescott
"May 27, 2018",Cessna 421 Golden Eagle,"Génova, Quetzaltenango",2,N113FT,http://www.baaa-acro.com/crash/crash-cessna-421-golden-eagle-near-genova-2-killed
"May 22, 2018",Gulfstream G200,"Tegucigalpa, Francisco Morazán",0,N813WM,http://www.baaa-acro.com/crash/crash-gulfstream-g200-tegucigalpa
"May 22, 2018",Cessna 208B Grand Caravan,"Manaus-Aeroclube de Flores, Amazonas",0,PT-FLW,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-manaus
"May 18, 2018",Boeing 737-200,"Havana-José Martí, La Habana",112,XA-UHZ,http://www.baaa-acro.com/crash/crash-boeing-737-201-havana-112-killed
"May 16, 2018",Cessna 208B Grand Caravan,"Simikot, Karnali",2,9N-AJU,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-near-simikot-2-killed
"May 15, 2018",Cessna 208B Grand Caravan,"Tuzantán, Chiapas",3,N149CD,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-near-tuzantan-3-killed
"May 13, 2018",Cessna 208B Grand Caravan,"Clonbullogue, Leinster",2,G-KNYS,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-clonbullogue-2-killed
"May 5, 2018",Embraer KC-390,"Gavião Peixoto-Embraer Unidade, São Paulo",0,PT-ZNF,http://www.baaa-acro.com/crash/crash-embraer-kc-390-gaviao-peixoto
"May 2, 2018",Lockheed C-130 Hercules,"Savannah, Georgia",9,65-0968,http://www.baaa-acro.com/crash/crash-lockheed-hc-130h-hercules-savannah-9-killed
"May 2, 2018",Beechcraft 99 Airliner,"Ibagué, Tolima",4,PNC-0203,http://www.baaa-acro.com/crash/crash-beechcraft-99-ibague-4-killed
"May 1, 2018",Pilatus PC-12,"Ubatuba, São Paulo",0,PR-WBV,http://www.baaa-acro.com/crash/crash-pilatus-pc-1247e-ubatuba
"Apr 29, 2018",Lockheed C-130 Hercules,"Sharara Field, Wadi al Hayaa (وادي الحياة)",3,-,http://www.baaa-acro.com/crash/crash-lockheed-c-130-hercules-sharara-3-killed
"Apr 26, 2018",Cessna 402,"Tanner-Hiller, Massachusetts",0,N87266,http://www.baaa-acro.com/crash/crash-cessna-402b-tanner-hiller
"Apr 24, 2018",Cessna 303 Crusader,"Batesland, South Dakota",0,N9746C,http://www.baaa-acro.com/crash/crash-cessna-t303-crusader-batesland
"Apr 20, 2018",McDonnell Douglas MD-83,"Alexandria, Louisiana",0,N807WA,http://www.baaa-acro.com/crash/crash-mcdonnell-douglas-md-83-alexandria
"Apr 15, 2018",Cessna 525 CJ1,"Crozet, Virginia",1,N525P,http://www.baaa-acro.com/crash/crash-cessna-525-cj1-crozet-1-killed
"Apr 14, 2018",Antonov AN-74,"Akola, Jonglei (جونقلي)",0,EK-74036,http://www.baaa-acro.com/crash/crash-antonov-74-200-akola
"Apr 11, 2018",Ilyushin II-76,"Boufarik, Blida",257,7T-WIV,http://www.baaa-acro.com/crash/crash-ilyushin-ii-76td-boufarik-afb-257-killed
"Apr 2, 2018",Cessna 525 CJ4,"Marion-Municipal, Indiana",0,N511AC,http://www.baaa-acro.com/crash/crash-cessna-525-citation-cj4-marion
"Apr 1, 2018",Cessna 401,"Pelagiada, Stavropol Krai",0,RA-1272G,http://www.baaa-acro.com/crash/crash-cessna-401-pelagiada
"Mar 16, 2018",Beechcraft 99 Airliner,"Hastings, Nebraska",0,N213AV,http://www.baaa-acro.com/crash/crash-beechcraft-c99-hastings
"Mar 15, 2018",Beechcraft 200 Super King Air,"Blue Creek, Orange Walk",0,YV3284,http://www.baaa-acro.com/crash/crash-beechcraft-b200-super-king-air-blue-creek
"Mar 12, 2018",De Havilland Dash-8-400,"Kathmandu-Tribhuvan, Bagmati",51,S2-AGU,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-8-q402-dash-8-kathmandu-51-killed
"Mar 11, 2018",Canadair CL-604 Challenger,"Shahr-e-Kord, Chahar Mahaal and Bakhtiari",11,TC-TRB,http://www.baaa-acro.com/crash/crash-canadair-cl-600-2b16-challenger-604-near-shahr-e-kord-11-killed
"Mar 8, 2018",Piper PA-31-310 Navajo,"Laredo, Texas",2,N82605,http://www.baaa-acro.com/crash/crash-piper-pa-31p-navajo-laredo-2-killed
"Mar 6, 2018",Antonov AN-26,"Hmeimim AFB (Latakia), Latakia Governorate (مُحافظة اللاذقية‎)",39,RF-92955,http://www.baaa-acro.com/crash/crash-antonov-26-hmeimim-afb-39-killed
"Mar 1, 2018",Beechcraft 60 Duke,"Ferris, Texas",0,N77MM,http://www.baaa-acro.com/crash/crash-beechcraft-b60-duke-near-ferris
"Feb 27, 2018",Quest Kodiak 100,"Welaka, Florida",2,N969TB,http://www.baaa-acro.com/crash/crash-quest-kodiak-100-welaka-2-killed
"Feb 23, 2018",Beechcraft 100 King Air,"Abbotsford, British Columbia",0,C-GIAE,http://www.baaa-acro.com/crash/crash-beechcraft-b100-king-air-abbotsford
"Feb 22, 2018",Cessna 441 Conquest,"Owasco, Indiana",3,N771XW,http://www.baaa-acro.com/crash/crash-cessna-441-conquest-ii-owesco-3-killed
"Feb 18, 2018",ATR72-200,"Mt Dena, Isfahan",66,EP-ATS,http://www.baaa-acro.com/crash/crash-atr72-212-mt-dena-66-killed
"Feb 18, 2018",Socata TBM-700,"Evanston-Uinta County, Wyoming",2,N700VX,http://www.baaa-acro.com/crash/crash-socata-tbm-700-evanston-2-killed
"Feb 16, 2018",Airbus A320,"Tallinn-Lennart Meri-Ülemiste, Harjumaa",0,ES-SAN,http://www.baaa-acro.com/crash/crash-airbus-a320-214-tallinn
"Feb 11, 2018",Antonov AN-148,"Argunovo, Moscow oblast",71,RA-61704,http://www.baaa-acro.com/crash/crash-antonov-148-100-argunovo-71-killed
"Jan 29, 2018",Shaanxi Y-8,"Zhengchang, Guizhou",12,30513,http://www.baaa-acro.com/crash/crash-shaanxi-y-8gx-3-near-zhengchang-12-killed
"Jan 17, 2018",Casa-Nurtanio CN235 (IPTN),"Yalvaç, Mediterranean Region (Akdeniz Bölgesi)",3,98-148,http://www.baaa-acro.com/crash/crash-casa-nurtanio-cn-235m-100-near-yalvac-3-killed
"Jan 13, 2018",Boeing 737-800,"Trabzon, Black Sea Region (Karadeniz Bölgesi)",0,TC-CPF,http://www.baaa-acro.com/crash/crash-boeing-737-82r-trabzon
"Jan 7, 2018",Cessna 208B Grand Caravan,"Akobo, Jonglei (جونقلي)",1,5Y-FDC,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-akobo-1-killed
"Jan 6, 2018",PZL-Mielec AN-2,"La Paragua, Bolívar",0,YV1944,http://www.baaa-acro.com/crash/crash-pzl-mielec-2tp-la-paragua
"Jan 2, 2018",Cessna (DMI) Falcon 402,"Bazaruto Island, Inhambane",0,ZU-MDI,http://www.baaa-acro.com/crash/crash-cessna-dmi-falcon-402-bazaruto-island
"Dec 31, 2017",De Havilland DHC-2 Beaver,"Cottage Point, New South Wales",6,VH-NOO,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-cottage-point-6-killed
"Dec 31, 2017",Cessna 208B Grand Caravan,"Punta Islita, Guanacaste (North Pacific)",12,TI-BEI,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-punta-islita-12-killed
"Dec 27, 2017",Cessna 525 CJ2,"Michigan City, Indiana",0,N525KT,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj2-michigan-city
"Dec 24, 2017",Cessna 340,"Bartow, Florida",5,N247AT,http://www.baaa-acro.com/crash/crash-cessna-340-bartow-5-killed
"Dec 23, 2017",Britten-Norman Islander,"Saidor Gap, Morobe",1,P2-ISM,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-islander-saidor-gap-1-killed
"Dec 21, 2017",Cessna 207 Skywagon/Stationair,"Playa del Carmen, Quintana Roo",0,XA-UHL,http://www.baaa-acro.com/crash/crash-cessna-207-skywagon-near-playa-del-carmen
"Dec 19, 2017",PZL-Mielec AN-2,"Naryan-Mar, Arkhangelsk oblast",4,RA-01460,http://www.baaa-acro.com/crash/crash-pzl-mielec-2ms-naryan-mar-4-killed
"Dec 14, 2017",Cessna 510 Mustang,"Friedrichshafen, Baden-Württemberg",3,OE-FWD,http://www.baaa-acro.com/crash/crash-cessna-510-citation-mustang-sieberatsreute-3-killed
"Dec 13, 2017",ATR42-300,"Fond-du-Lac, Saskatchewan",1,C-GWEA,http://www.baaa-acro.com/crash/crash-atr42-300-fond-du-lac-1-killed
"Dec 10, 2017",Piper PA-61 Aerostar (Ted Smith 601),"Miami-Executive (Kendall-Tamiami), Florida",1,N7529S,http://www.baaa-acro.com/crash/crash-piper-pa-61-aerostar-miami-1-killed
"Dec 8, 2017",Beechcraft 90 King Air,"Sanford, Florida",3,N19LW,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90-near-sanford-3-killed
"Dec 5, 2017",Beechcraft 90 King Air,"Rockford, Illinois",0,N500KR,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90-rockford
"Nov 28, 2017",De Havilland DHC-6 Twin Otter,"Simikot, Karnali",0,9N-ABM,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-6-twin-otter-simikot-0
"Nov 25, 2017",Piper PA-46 Malibu Meridian (Malibu Mirage),"Saint Petersburg-Clearwater, Florida",0,N863RB,http://www.baaa-acro.com/crash/crash-piper-pa-46-500tp-malibu-meridian-saint-petersburg
"Nov 22, 2017",Grumman C-2A Greyhound,"Philippines Sea, All World",3,162175,http://www.baaa-acro.com/crash/crash-grumman-c-2ar-greyhound-philippines-sea-3-killed
"Nov 17, 2017",Cessna 208B Grand Caravan,"Placencia, Stann Creek",0,V3-HGX,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-placencia
"Nov 15, 2017",Let 410UVP,"Nelkan, Khabarovsk Krai",6,RA-67047,http://www.baaa-acro.com/crash/crash-let-410uvp-e20-nelkan-6-killed
"Nov 15, 2017",Cessna 208B Grand Caravan,"Empakaai Camp, Arusha Region",11,5H-EGG,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-empakaai-camp-11-killed
"Nov 10, 2017",Quest Kodiak 100,"Goiás, Goiás",0,N154KQ,http://www.baaa-acro.com/crash/crash-quest-kodiak-100-goias
"Nov 7, 2017",PZL-Mielec AN-2,"Ekimchan, Amur oblast",1,RA-02305,http://www.baaa-acro.com/crash/crash-pzl-mielec-2-ekimchan-1-killed
"Oct 25, 2017",Cessna 208B Grand Caravan,"Lobo, Mara Region",0,5H-THR,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-lobo
"Oct 19, 2017",Beechcraft 200 Super King Air,"Nuevo Saposoa, Ucayali",0,OB-2077-P,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200c-nuevo-saposoa
"Oct 18, 2017",Cessna 402,"Saint Petersburg, Florida",0,N900CR,http://www.baaa-acro.com/crash/crash-cessna-402b-st-petersburg
"Oct 17, 2017",Cessna 208A Caravan,"Manaus, Amazonas",1,PR-MPE,http://www.baaa-acro.com/crash/crash-cessna-208a-caravan-i-near-manaus-1-killed
"Oct 14, 2017",Antonov AN-26,"Abidjan, Lagunes",4,ER-AVB,http://www.baaa-acro.com/crash/crash-antonov-26-100-abidjan-4-killed
"Oct 12, 2017",Embraer EMB-120 Brasília,"Cuilo, Lunda Norte",7,D2-FDO,http://www.baaa-acro.com/crash/crash-embraer-emb-120rt-brasilia-near-cuilo-7-killed
"Oct 4, 2017",Cessna 401,"Lane, South Carolina",2,N401HH,http://www.baaa-acro.com/crash/crash-cessna-401b-near-lane-2-killed
"Oct 4, 2017",De Havilland DHC-6 Twin Otter,"Male, North Central Province",0,8Q-ISB,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-6-twin-otter-300-male
"Oct 4, 2017",PZL-Mielec AN-28,"Mezhdurechenskoye, Almaty Province",5,UP-A2807,http://www.baaa-acro.com/crash/crash-pzl-mielec-28-mezhdurechenskoye-5-killed
"Sep 30, 2017",Antonov AN-12,"Kinshasa, Kinshasa City Province",12,EX-001,http://www.baaa-acro.com/crash/crash-antonov-12-near-kinshasa-12-killed
"Sep 26, 2017",Cessna 421B Golden Eagle II,"Stráž pod Ralskem, Liberec Region (Liberecký kraj)",2,OK-TKF,http://www.baaa-acro.com/crash/crash-cessna-421b-golden-eagle-ii-near-straz-pod-ralskem-2-killed
"Sep 26, 2017",Rockwell Aero Commander 500,"Dabajuro, Falcón",1,HI-560,http://www.baaa-acro.com/crash/crash-rockwell-aero-commander-500-dabajuro-1-killed
"Sep 23, 2017",Mitsubishi MU-2 Marquise,"Ainsworth, Nebraska",1,N73MA,http://www.baaa-acro.com/crash/crash-mitsubishi-mu-2b-40-solitaire-ainsworth-1-killed
"Sep 21, 2017",Cessna 650 Citation VII,"Istanbul-Atatürk, Marmara Region (Marmara Bölgesi)",0,TC-KON,http://www.baaa-acro.com/crash/crash-cessna-650-citation-vii-istanbul
"Sep 10, 2017",Antonov AN-26,"Goma, Nord-Kivu",0,9S-AFL,http://www.baaa-acro.com/crash/crash-antonov-26b-goma
"Sep 6, 2017",Piper PA-31-310 Navajo,"Caernarfon, Gwynedd",1,N250AC,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-caernarfon-1-killed
"Sep 4, 2017",BAe 125,"Hato Viejo, Cojedes",2,-,http://www.baaa-acro.com/crash/crash-bae-125-700-near-hato-viejo-2-killed
"Sep 2, 2017",PZL-Mielec AN-2,"Chernoye, Moscow oblast",2,RA-35171,http://www.baaa-acro.com/crash/crash-pzl-mielec-2-chernoye-2-killed
"Aug 28, 2017",Antonov AN-26,"Maban, Upper Nile (أعالي النيل)",0,EK-26006,http://www.baaa-acro.com/crash/crash-antonov-26b-maban
"Aug 19, 2017",Piper PA-61 Aerostar (Ted Smith 601),"Donegal Springs, Pennsylvania",0,N7108,http://www.baaa-acro.com/crash/crash-piper-pa-61p-aerostar-donegal-springs
"Aug 19, 2017",Learjet 25,"Naiguatá, Vargas",5,YV3191,http://www.baaa-acro.com/crash/crash-learjet-25d-naiguata-5-killed
"Aug 16, 2017",Let 410UVP,"Comayagua-Palmerola AFB, Comayagua",1,FAH-322,http://www.baaa-acro.com/crash/crash-let-410uvp-e3-comayagua-1-killed
"Aug 14, 2017",Socata TBM-700,"Zemyo, Kansai",2,N702AV,http://www.baaa-acro.com/crash/crash-socata-tbm-700-zemyo-2-killed
"Aug 8, 2017",Piper PA-46 Malibu Meridian (Malibu Mirage),"Mainau Island, Baden-Württemberg",2,HB-PPH,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-mainau-island-2-killed
"Jul 29, 2017",Antonov AN-74,"São Tomé, Água Grande",0,UR-CKC,http://www.baaa-acro.com/crash/crash-antonov-74tk-100-sao-tome
"Jul 25, 2017",Britten-Norman Islander,"Eteringbang, Cuyuni-Mazaruni",1,8R-GRA,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-26-islander-eteringbang-1-killed
"Jul 24, 2017",Mitsubishi MU-2 Marquise,"Buenos Aires-San Fernando, Buenos Aires City",3,LV-MCV,http://www.baaa-acro.com/crash/crash-mitsubishi-mu-2b-26a-marquise-near-san-fernando-3-killed
"Jul 18, 2017",Boeing 737-300,"Wamena, Special Region of Papua",0,PK-YGG,http://www.baaa-acro.com/crash/crash-boeing-737-301f-wamena
"Jul 13, 2017",Piper PA-31 Cheyenne,"Tyler-Pounds, Texas",2,N47GW,http://www.baaa-acro.com/crash/crash-piper-pa-31t1-cheyenne-tyler-2-killed
"Jul 10, 2017",Lockheed C-130 Hercules,"Itta Bena, Mississippi",16,165000,http://www.baaa-acro.com/crash/crash-lockheed-kc-130t-hercules-near-itta-bena-16-killed
"Jul 5, 2017",Pilatus PC-6 (Porter & Turbo Porter),"Wamena, Special Region of Papua",5,PK-RCX,http://www.baaa-acro.com/crash/crash-pilatus-pc-6b2-h4-turbo-porter-near-wamena-5-killed
"Jul 4, 2017",Gulfstream GIII,"Punta Arenas, Nueva Esparta",9,YV2896,http://www.baaa-acro.com/crash/crash-gulfstream-giii-punta-arenas-9-killed
"Jul 3, 2017",Cessna 208B Grand Caravan,"Alpine-Casparis, Texas",0,N9714B,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-alpine
"Jul 1, 2017",Cessna 421C Golden Eagle III,"Catawba, Wisconsin",6,N2655B,http://www.baaa-acro.com/crash/crash-cessna-421c-golden-eagle-iii-catawba-6-killed
"Jun 27, 2017",PZL-Mielec AN-2,"Kilia, Odessa Oblast",0,UR-19717,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-kilia
"Jun 26, 2017",Cessna 207 Skywagon/Stationair,"Vinalhaven, Maine",0,N207GM,http://www.baaa-acro.com/crash/crash-cessna-207-stationair-vinalhaven
"Jun 13, 2017",Beechcraft 90 King Air,"Ruidoso-Sierra Blanca, New Mexico",2,N48TA,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-e90-ruidoso-2-killed
"Jun 7, 2017",Shaanxi Y-8,"Andaman Sea, All World",122,5820,http://www.baaa-acro.com/crash/crash-shaanxi-y-8f-200w-andaman-sea-122-killed
